date,champion_trend_following_v4,adaptive_ensemble,defensive_growth,factor_rotation,risk_parity,dynamic_champion_switcher_weights,etf_only_robust_portfolio,gtaa_dual_momentum_weights,blended_champion_weights_alpha_1.0,blended_champion_weights_alpha_0.9,blended_champion_weights_alpha_0.8,blended_champion_weights_alpha_0.7,blended_champion_weights_alpha_0.6,blended_champion_weights_alpha_0.5
2010-01-04,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2010-01-05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2010-01-06,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2010-01-07,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2010-01-08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2010-01-11,9980.0,10000.0,10000.0,10000.0,10000.0,10000.0,9980.0,10000.0,9980.0,9980.0,9980.0,9980.0,9980.0,9980.0
2010-01-12,9988.379962910944,10000.0,10000.0,10000.0,10000.0,10000.0,9988.379962910944,10000.0,9988.379962910944,9988.379962910944,9988.379962910944,9988.379962910944,9988.379962910944,9988.379962910944
2010-01-13,9980.0,10000.0,10000.0,10000.0,10000.0,10000.0,9980.0,10000.0,9980.0,9980.0,9980.0,9980.0,9980.0,9980.0
2010-01-14,9989.576604486681,10000.0,10000.0,10000.0,10000.0,10000.0,9989.576604486681,10000.0,9989.576604486681,9989.576604486681,9989.576604486681,9989.576604486681,9989.576604486681,9989.576604486681
2010-01-15,9997.965825746373,10000.0,10000.0,10000.0,10000.0,10000.0,9997.965825746373,10000.0,9997.965825746373,9997.965825746373,9997.965825746373,9997.965825746373,9997.965825746373,9997.965825746373
2010-01-19,10000.370681833783,9980.0,10000.0,10000.0,10000.0,10000.0,10000.370681833783,10000.0,10000.370681833783,10000.370681833783,10000.370681833783,10000.370681833783,10000.370681833783,10000.370681833783
2010-01-20,10000.370681833783,9980.0,10000.0,10000.0,10000.0,10000.0,10000.370681833783,10000.0,10000.370681833783,10000.370681833783,10000.370681833783,10000.370681833783,10000.370681833783,10000.370681833783
2010-01-21,10008.749487451132,9988.361738051675,10000.0,10000.0,10000.0,10000.0,10008.749487451132,10000.0,10008.749487451132,10008.749487451132,10008.749487451132,10008.749487451132,10008.749487451132,10008.749487451132
2010-01-22,10017.147967059573,9996.743110018666,10000.0,10000.0,10000.0,10000.0,10017.147967059573,10000.0,10017.147967059573,10017.147967059573,10017.147967059573,10017.147967059573,10017.147967059573,10017.147967059573
2010-01-25,10008.749487451132,9988.361738051673,10000.0,10000.0,10000.0,10000.0,10008.749487451132,10000.0,10008.749487451132,10008.749487451132,10008.749487451132,10008.749487451132,10008.749487451132,10008.749487451132
2010-01-26,10009.94960090765,9989.55940688587,10000.0,10000.0,10000.0,10000.0,10009.94960090765,10000.0,10009.94960090765,10009.94960090765,10009.94960090765,10009.94960090765,10009.94960090765,10009.94960090765
2010-01-27,10006.359676180437,9985.976794809034,10000.0,10000.0,10000.0,10000.0,10006.359676180437,10000.0,10006.359676180437,10006.359676180437,10006.359676180437,10006.359676180437,10006.359676180437,10006.359676180437
2010-01-28,10011.158972712918,9990.766315209628,10000.0,10000.0,10000.0,10000.0,10011.158972712918,10000.0,10011.158972712918,10011.158972712918,10011.158972712918,10011.158972712918,10011.158972712918,10011.158972712918
2010-01-29,10020.74367825475,10000.331496776476,10000.0,10000.0,10000.0,10000.0,10020.74367825475,10000.0,10020.74367825475,10020.74367825475,10020.74367825475,10020.74367825475,10020.74367825475,10020.74367825475
2010-02-01,10016.42234397641,9996.01896502441,9980.0,9980.0,9980.0,9980.0,9996.380856619902,9980.0,10016.42234397641,10016.42234397641,10016.42234397641,10016.42234397641,10016.42234397641,10016.42234397641
2010-02-02,10017.624772020115,9997.218943730997,9981.198055699337,9981.198055699337,9980.0,9981.198055699337,9996.980867694952,9981.198055699337,10017.624772020115,10017.624772020115,10017.624772020115,10017.624772020115,10017.624772020115,10017.624772020115
2010-02-03,10010.426405868193,9990.035240598203,9974.025864698488,9974.025864698488,9980.0,9974.025864698488,9993.389101665722,9974.025864698488,10010.426405868193,10010.426405868193,10010.426405868193,10010.426405868193,10010.426405868193,10010.426405868193
2010-02-04,10024.817351704069,10004.396872182815,9988.364481273338,9988.364481273338,9980.0,9988.364481273338,10000.572328206132,9988.364481273338,10024.817351704069,10024.817351704069,10024.817351704069,10024.817351704069,10024.817351704069,10024.817351704069
