year,engine,confidence
2016,v6_aggressive,0.6559564019431174
2016,defensive,0.336008990233976
2016,defensive,0.3362788624290997
2016,defensive,0.3362890385068636
2016,v6_aggressive,0.3218705534673567
2016,defensive,0.3364874374415999
2016,defensive,0.3365094943926923
2016,defensive,0.34981057054713666
2016,benchmark_core,0.3084432053493587
2016,benchmark_core,0.3218846536287899
2016,v6_aggressive,0.5725028939576595
2016,v6_aggressive,0.6290185928617524
2016,v6_aggressive,0.6557237562330283
2016,v6_aggressive,0.6619548290206593
2016,v6_aggressive,0.6620292468943151
2016,v6_aggressive,0.713637710759288
2016,v6_aggressive,0.6946588744946223
2016,v6_aggressive,0.7350025013982057
2016,v6_aggressive,0.7168187627647014
2016,v6_aggressive,0.6815593920774827
2016,v6_aggressive,0.697324257529548
2016,v6_aggressive,0.6808645587908408
2016,v6_aggressive,0.7034502821256978
2016,v6_aggressive,0.6657485868105338
2016,v6_aggressive,0.6464986435040235
2016,v6_aggressive,0.6763309757912931
2016,v6_aggressive,0.6831311615808597
2016,v6_aggressive,0.6875663052861849
2016,v6_aggressive,0.690381119143395
2016,v6_aggressive,0.6781033405968604
2016,v6_aggressive,0.6752087261625179
2016,v6_aggressive,0.6670976140891896
2016,v6_aggressive,0.6779441742914761
2016,v6_aggressive,0.6907642807588881
2016,v6_aggressive,0.6789653639187545
2016,v6_aggressive,0.7103939356773092
2016,v6_aggressive,0.603055314228147
2016,v6_aggressive,0.6436536063492307
2016,v6_aggressive,0.6724366470268729
2016,v6_aggressive,0.5703102973431151
2016,v6_aggressive,0.5699294746354604
2016,v6_aggressive,0.590179305700546
2016,v6_aggressive,0.5501579754260888
2016,v6_aggressive,0.5794712971008886
2016,v6_aggressive,0.5961531703743395
2016,v6_aggressive,0.6525429678158955
2016,v6_aggressive,0.6962056769865889
2016,v6_aggressive,0.699143507578431
2016,v6_aggressive,0.6782594677711425
2016,v6_aggressive,0.6941211710845955
2016,v6_aggressive,0.6736423348377165
2016,v6_aggressive,0.6867411328335831
2016,v6_aggressive,0.6429733023546026
2017,v14_return,0.5162148312399082
2017,v14_return,0.4243405208088794
2017,v14_return,0.385939671806131
2017,v14_return,0.35927561648933665
2017,defensive,0.4690363217623235
2017,v14_return,0.5129648278005104
2017,v14_return,0.5799462934531394
2017,v14_return,0.47874494324544936
2017,v14_return,0.3842443128100875
2017,v14_return,0.5102809708196551
2017,v14_return,0.5479794820642523
2017,v14_return,0.39933025457315297
2017,v14_return,0.41220363480564703
2017,v14_return,0.41171566564530215
2017,v14_return,0.4854655263296138
2017,v14_return,0.42109424536675677
2017,v14_return,0.493346641824455
2017,v14_return,0.5945471242754357
2017,v14_return,0.5521430590254703
2017,defensive,0.4429985959265869
2017,v14_return,0.5652118306081779
2017,v14_return,0.6145116819139936
2017,v14_return,0.53304817664574
2017,v14_return,0.5062025800720877
2017,v14_return,0.5277071949806962
2017,v14_return,0.5000529044122084
2017,v14_return,0.530594113889347
2017,v14_return,0.541215803170199
2017,v14_return,0.48332928590611524
2017,v14_return,0.451715275605525
2017,v14_return,0.533492766234924
2017,v14_return,0.36044720385877677
2017,v14_return,0.5105991069010494
2017,v14_return,0.49989779962527603
2017,v14_return,0.45258943732252976
2017,defensive,0.46864560696877977
2017,v14_return,0.5200725043893493
2017,v14_return,0.4586165811999704
2017,v14_return,0.6175567389477465
2017,v14_return,0.6100846239314959
2017,v14_return,0.5439855730682891
2017,v14_return,0.5521340870702627
2017,v14_return,0.6042730341034606
2017,v14_return,0.5268377783545047
2017,v14_return,0.48650035169393613
2017,v14_return,0.4031904639783871
2017,v14_return,0.6025449167470831
2017,v14_return,0.4813866416103296
2017,v14_return,0.5282266351245853
2017,v14_return,0.5362601992889955
2017,v14_return,0.5891449001004516
2017,v14_return,0.5198398751737431
2018,v14_return,0.5074570010497308
2018,v14_return,0.5424118085913374
2018,v14_return,0.5591565048652284
2018,v14_return,0.5480064904963876
2018,defensive,0.41028595781564003
2018,benchmark_core,0.39594509048708204
2018,defensive,0.47808784200497056
2018,defensive,0.4693238723466276
2018,v14_return,0.4875708366956861
2018,v14_return,0.7035910880413287
2018,v14_return,0.6467857748567426
2018,benchmark_core,0.40676865295631415
2018,v14_return,0.4498302834688234
2018,v6_aggressive,0.36581036729440075
2018,v6_aggressive,0.3898069357613848
2018,benchmark_core,0.4110064733787526
2018,v6_aggressive,0.4022975117499907
2018,v14_return,0.42284178748036266
2018,v14_return,0.5506761794156337
2018,v14_return,0.5327133784216378
2018,defensive,0.47216606103471204
2018,v14_return,0.4033098780650961
2018,defensive,0.45040599045378826
2018,defensive,0.5618290809156545
2018,v14_return,0.5277961645325782
2018,v14_return,0.5004267302434289
2018,defensive,0.4473264008169259
2018,defensive,0.4376191584229878
2018,defensive,0.620064949377942
2018,defensive,0.4803704097431898
2018,benchmark_core,0.37917303925241486
2018,defensive,0.5159677075387733
2018,defensive,0.6300612117585498
2018,defensive,0.6215156163925426
2018,defensive,0.6234807353230087
2018,v14_return,0.41979281918244604
2018,benchmark_core,0.48869100400227805
2018,benchmark_core,0.5514270968348833
2018,v14_return,0.5546332728879759
2018,benchmark_core,0.5705072129850202
2018,v6_aggressive,0.4061198995064004
2018,v6_aggressive,0.5174070455536175
2018,v6_aggressive,0.4327628374018083
2018,v6_aggressive,0.6698077656536106
2018,v6_aggressive,0.7009992799443654
2018,v6_aggressive,0.7545044015673428
2018,v6_aggressive,0.7930220450664616
2018,v6_aggressive,0.7656347283754492
2018,v6_aggressive,0.6564878896385574
2018,v6_aggressive,0.4960811736472668
2018,v6_aggressive,0.48347002464304867
2018,v6_aggressive,0.4928601749799366
2019,v6_aggressive,0.47922145488054635
2019,defensive,0.40196452503577573
2019,v6_aggressive,0.7137794390547678
2019,v6_aggressive,0.693696038961146
2019,v6_aggressive,0.5993583213164321
2019,v6_aggressive,0.6097420324128595
2019,v6_aggressive,0.44126076760115546
2019,v6_aggressive,0.3807015198975098
2019,defensive,0.4233297155760496
2019,v14_return,0.3041563055982804
