year,strategy_return,beats_spy,beats_ew
2015,0.23816168044137154,True,False
2016,0.4348990740606138,True,False
2017,0.26093188254479593,True,False
2018,-0.05736537937031494,True,False
2019,0.4816923242065745,True,False
2020,0.5346357774091068,True,False
2021,0.38220607918614347,True,False
2022,-0.027503785061771646,True,True
2023,0.5317341432538927,True,False
2024,0.3996430512167466,True,False
2025,0.18728882075510622,True,False
2026,0.16190384780487066,True,False
