signal_date,exec_date,regime,stress_level,equity,w_SHY,w_IEF,w_TLT,w_SPY,w_MTUM,w_USMV,w_GLD,w_MSFT,w_NVDA,w_XLK,w_AAPL,w_QQQ,w_IWM,w_XLF
2015-06-26,2015-06-29,mixed,low_stress,9891.406626232538,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-07-02,2015-07-06,mixed,low_stress,9856.650827705835,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-07-10,2015-07-13,defensive,low_stress,9826.276430905118,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-07-17,2015-07-20,mixed,low_stress,9793.009907484558,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-07-24,2015-07-27,defensive,low_stress,9795.589696959001,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-07-31,2015-08-03,mixed,low_stress,9824.273750236227,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-08-07,2015-08-10,defensive,low_stress,9821.171816893062,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-08-14,2015-08-17,defensive,low_stress,9859.445426344178,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-08-21,2015-08-24,defensive,low_stress,9951.145562294987,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-08-28,2015-08-31,crash_risk,low_stress,9908.68044986834,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-09-04,2015-09-08,crash_risk,low_stress,9876.122851515767,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-09-11,2015-09-14,crash_risk,low_stress,9840.699594688977,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-09-18,2015-09-21,crash_risk,low_stress,9948.181375777587,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-09-25,2015-09-28,defensive,low_stress,9976.102862753432,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-10-02,2015-10-05,defensive,low_stress,10060.925173807167,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-10-09,2015-10-12,defensive,low_stress,10118.550439787905,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-10-16,2015-10-19,mixed,low_stress,10168.147164908316,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-10-23,2015-10-26,risk_on_strong,low_stress,10133.777964937355,0.0698,0.0,,0.0698,0.0698,0.0698,0.0698,0.186,0.186,0.2791,,,,
2015-10-30,2015-11-02,risk_on_normal,low_stress,10066.405265475774,0.0698,0.0,,0.0698,0.0698,0.0698,0.0698,0.186,0.186,0.2791,,,,
2015-11-06,2015-11-09,risk_on_strong,low_stress,10289.181789614857,0.0909,0.0,,0.0909,0.0909,0.0909,0.0909,0.1818,0.1818,,0.1818,,,
2015-11-13,2015-11-16,mixed,low_stress,9935.756010428555,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-11-20,2015-11-23,risk_on_strong,low_stress,9919.133989228205,0.0698,0.0,,0.0698,0.0698,0.0698,0.0698,0.186,0.186,0.2791,,,,
2015-11-27,2015-11-30,risk_on_strong,low_stress,9930.557150174685,0.0805,0.0,,0.0805,0.0805,0.0805,0.0805,0.1839,0.1839,,,0.2299,,
2015-12-04,2015-12-07,risk_on_strong,low_stress,10150.45694084627,0.0794,0.0317,,0.0476,0.0476,0.0476,0.0794,0.1905,0.1905,0.2857,,,,
2015-12-11,2015-12-14,mixed,low_stress,9904.64349508667,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-12-18,2015-12-21,mixed,low_stress,9916.681208157068,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2015-12-24,2015-12-28,risk_on_strong,low_stress,9905.005209589552,0.0902,0.0314,,0.0588,0.0588,0.0588,0.0902,0.1882,0.1882,,,0.2353,,
2015-12-31,2016-01-04,mixed,low_stress,9833.179574422862,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2016-01-08,2016-01-11,defensive,low_stress,9912.690034762645,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2016-01-15,2016-01-19,crash_risk,low_stress,9911.629048325738,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2016-01-22,2016-01-25,defensive,low_stress,9953.340969145354,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2016-01-29,2016-02-01,defensive,low_stress,10038.669738035229,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2016-02-05,2016-02-08,crash_risk,low_stress,10151.149830483571,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
2016-02-12,2016-02-16,crash_risk,low_stress,10283.461539314545,0.3,0.3,,0.0333,0.0333,0.0333,0.3,,,,,,,
