ticker,contribution,pct_of_total
NVDA,0.9378100403565814,37.62
MSFT,0.45064965965197584,18.08
AAPL,0.23833633399099882,9.56
QQQ,0.16238075892655135,6.51
SPY,0.1172983650684698,4.71
GLD,0.09323079837957503,3.74
XLK,0.09151892895826796,3.67
IWM,0.09090793975861146,3.65
XLF,0.08566799706582148,3.44
MTUM,0.06555464614377332,2.63
SHY,0.03951070981895868,1.59
IEF,0.019616582469464867,0.79
TLT,0.012739727719153424,0.51
XLV,-0.04332684876563505,1.74
USMV,-0.04423590710675228,1.77
