year,return,SPY,QQQ,6040,beats_spy,beats_qqq,beats_6040,strategy
2023,21.44,26.71,55.91,16.36,False,False,True,V16_C_M7_STRESS_FILTER
2024,29.63,25.59,27.74,12.35,True,True,True,V16_C_M7_STRESS_FILTER
2025,13.55,18.01,21.01,12.39,False,False,True,V16_C_M7_STRESS_FILTER
2026,4.69,10.62,18.25,5.93,False,False,False,V16_C_M7_STRESS_FILTER
2015,-1.79,1.29,9.77,-0.37,False,False,False,V16_D_M7_ALL_CONTROLS
2016,18.7,13.59,9.41,8.33,True,True,True,V16_D_M7_ALL_CONTROLS
2017,24.25,20.78,31.49,15.96,True,False,True,V16_D_M7_ALL_CONTROLS
2018,6.82,-5.25,-1.85,-3.36,True,True,True,V16_D_M7_ALL_CONTROLS
2019,24.85,31.09,38.41,24.06,False,False,True,V16_D_M7_ALL_CONTROLS
2020,22.81,17.24,45.97,17.07,True,False,True,V16_D_M7_ALL_CONTROLS
2021,39.66,30.51,29.24,16.51,True,True,True,V16_D_M7_ALL_CONTROLS
2022,-8.34,-18.65,-33.22,-22.94,True,True,True,V16_D_M7_ALL_CONTROLS
2023,7.22,26.71,55.91,16.36,False,False,False,V16_D_M7_ALL_CONTROLS
2024,0.0,25.59,27.74,12.35,False,False,False,V16_D_M7_ALL_CONTROLS
2025,0.0,18.01,21.01,12.39,False,False,False,V16_D_M7_ALL_CONTROLS
2026,0.0,10.62,18.25,5.93,False,False,False,V16_D_M7_ALL_CONTROLS
2015,-0.94,1.29,9.77,-0.37,False,False,False,V16_E_M6_ALL_CONTROLS
2016,17.92,13.59,9.41,8.33,True,True,True,V16_E_M6_ALL_CONTROLS
2017,24.94,20.78,31.49,15.96,True,False,True,V16_E_M6_ALL_CONTROLS
2018,6.9,-5.25,-1.85,-3.36,True,True,True,V16_E_M6_ALL_CONTROLS
2019,25.09,31.09,38.41,24.06,False,False,True,V16_E_M6_ALL_CONTROLS
2020,22.0,17.24,45.97,17.07,True,False,True,V16_E_M6_ALL_CONTROLS
2021,40.7,30.51,29.24,16.51,True,True,True,V16_E_M6_ALL_CONTROLS
2022,-8.43,-18.65,-33.22,-22.94,True,True,True,V16_E_M6_ALL_CONTROLS
2023,8.54,26.71,55.91,16.36,False,False,False,V16_E_M6_ALL_CONTROLS
2024,0.0,25.59,27.74,12.35,False,False,False,V16_E_M6_ALL_CONTROLS
2025,0.0,18.01,21.01,12.39,False,False,False,V16_E_M6_ALL_CONTROLS
2026,0.0,10.62,18.25,5.93,False,False,False,V16_E_M6_ALL_CONTROLS
2015,-3.37,1.29,9.77,-0.37,False,False,False,V16_F_V14_AGGRESSIVE_CAPPED
2016,36.15,13.59,9.41,8.33,True,True,True,V16_F_V14_AGGRESSIVE_CAPPED
2017,21.39,20.78,31.49,15.96,True,False,True,V16_F_V14_AGGRESSIVE_CAPPED
2018,6.77,-5.25,-1.85,-3.36,True,True,True,V16_F_V14_AGGRESSIVE_CAPPED
2019,27.22,31.09,38.41,24.06,False,False,True,V16_F_V14_AGGRESSIVE_CAPPED
2020,28.07,17.24,45.97,17.07,True,False,True,V16_F_V14_AGGRESSIVE_CAPPED
2021,35.12,30.51,29.24,16.51,True,True,True,V16_F_V14_AGGRESSIVE_CAPPED
2022,-13.36,-18.65,-33.22,-22.94,True,True,True,V16_F_V14_AGGRESSIVE_CAPPED
2023,23.02,26.71,55.91,16.36,False,False,True,V16_F_V14_AGGRESSIVE_CAPPED
2024,24.0,25.59,27.74,12.35,False,False,True,V16_F_V14_AGGRESSIVE_CAPPED
2025,17.08,18.01,21.01,12.39,False,False,True,V16_F_V14_AGGRESSIVE_CAPPED
2026,3.36,10.62,18.25,5.93,False,False,False,V16_F_V14_AGGRESSIVE_CAPPED
2015,0.16,1.29,9.77,-0.37,False,False,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2016,36.97,13.59,9.41,8.33,True,True,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2017,25.26,20.78,31.49,15.96,True,False,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2018,8.15,-5.25,-1.85,-3.36,True,True,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2019,31.08,31.09,38.41,24.06,False,False,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2020,36.58,17.24,45.97,17.07,True,False,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2021,40.3,30.51,29.24,16.51,True,True,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2022,-20.11,-18.65,-33.22,-22.94,False,True,True,V16_G_BENCHMARK_CAPTURE_CAPPED
2023,0.0,26.71,55.91,16.36,False,False,False,V16_G_BENCHMARK_CAPTURE_CAPPED
2024,0.0,25.59,27.74,12.35,False,False,False,V16_G_BENCHMARK_CAPTURE_CAPPED
2025,0.0,18.01,21.01,12.39,False,False,False,V16_G_BENCHMARK_CAPTURE_CAPPED
2026,0.0,10.62,18.25,5.93,False,False,False,V16_G_BENCHMARK_CAPTURE_CAPPED
2015,1.41,1.29,9.77,-0.37,True,False,True,V16_H_SMOOTH_REGIME_ALLOC
2016,36.21,13.59,9.41,8.33,True,True,True,V16_H_SMOOTH_REGIME_ALLOC
2017,26.06,20.78,31.49,15.96,True,False,True,V16_H_SMOOTH_REGIME_ALLOC
2018,-4.84,-5.25,-1.85,-3.36,True,False,False,V16_H_SMOOTH_REGIME_ALLOC
2019,41.27,31.09,38.41,24.06,True,True,True,V16_H_SMOOTH_REGIME_ALLOC
2020,45.4,17.24,45.97,17.07,True,False,True,V16_H_SMOOTH_REGIME_ALLOC
2021,36.87,30.51,29.24,16.51,True,True,True,V16_H_SMOOTH_REGIME_ALLOC
2022,-20.86,-18.65,-33.22,-22.94,False,True,True,V16_H_SMOOTH_REGIME_ALLOC
2023,37.35,26.71,55.91,16.36,True,False,True,V16_H_SMOOTH_REGIME_ALLOC
2024,30.09,25.59,27.74,12.35,True,True,True,V16_H_SMOOTH_REGIME_ALLOC
2025,15.56,18.01,21.01,12.39,False,False,True,V16_H_SMOOTH_REGIME_ALLOC
2026,6.83,10.62,18.25,5.93,False,False,True,V16_H_SMOOTH_REGIME_ALLOC
2015,0.42,1.29,9.77,-0.37,False,False,True,V15_M7_BASELINE
2016,43.66,13.59,9.41,8.33,True,True,True,V15_M7_BASELINE
2017,23.68,20.78,31.49,15.96,True,False,True,V15_M7_BASELINE
2018,7.02,-5.25,-1.85,-3.36,True,True,True,V15_M7_BASELINE
2019,33.77,31.09,38.41,24.06,True,False,True,V15_M7_BASELINE
2020,41.29,17.24,45.97,17.07,True,False,True,V15_M7_BASELINE
2021,45.48,30.51,29.24,16.51,True,True,True,V15_M7_BASELINE
2022,-28.26,-18.65,-33.22,-22.94,False,True,False,V15_M7_BASELINE
2023,31.33,26.71,55.91,16.36,True,False,True,V15_M7_BASELINE
2024,29.63,25.59,27.74,12.35,True,True,True,V15_M7_BASELINE
2025,10.91,18.01,21.01,12.39,False,False,False,V15_M7_BASELINE
2026,5.95,10.62,18.25,5.93,False,False,True,V15_M7_BASELINE
2015,-1.31,1.29,9.77,-0.37,False,False,False,V14_RETURN_ENGINE
2016,47.43,13.59,9.41,8.33,True,True,True,V14_RETURN_ENGINE
2017,22.34,20.78,31.49,15.96,True,False,True,V14_RETURN_ENGINE
2018,12.39,-5.25,-1.85,-3.36,True,True,True,V14_RETURN_ENGINE
2019,33.91,31.09,38.41,24.06,True,False,True,V14_RETURN_ENGINE
2020,32.66,17.24,45.97,17.07,True,False,True,V14_RETURN_ENGINE
2021,48.13,30.51,29.24,16.51,True,True,True,V14_RETURN_ENGINE
2022,-23.56,-18.65,-33.22,-22.94,False,True,False,V14_RETURN_ENGINE
2023,29.87,26.71,55.91,16.36,True,False,True,V14_RETURN_ENGINE
2024,27.31,25.59,27.74,12.35,True,False,True,V14_RETURN_ENGINE
2025,9.83,18.01,21.01,12.39,False,False,False,V14_RETURN_ENGINE
2026,7.65,10.62,18.25,5.93,False,False,True,V14_RETURN_ENGINE
2015,11.0,1.29,9.77,-0.37,True,True,True,V6_AGGRESSIVE_ENGINE
2016,39.43,13.59,9.41,8.33,True,True,True,V6_AGGRESSIVE_ENGINE
2017,25.53,20.78,31.49,15.96,True,False,True,V6_AGGRESSIVE_ENGINE
2018,-3.27,-5.25,-1.85,-3.36,True,False,True,V6_AGGRESSIVE_ENGINE
2019,29.23,31.09,38.41,24.06,False,False,True,V6_AGGRESSIVE_ENGINE
2020,50.51,17.24,45.97,17.07,True,True,True,V6_AGGRESSIVE_ENGINE
2021,41.26,30.51,29.24,16.51,True,True,True,V6_AGGRESSIVE_ENGINE
2022,-32.47,-18.65,-33.22,-22.94,False,True,False,V6_AGGRESSIVE_ENGINE
2023,46.51,26.71,55.91,16.36,True,False,True,V6_AGGRESSIVE_ENGINE
2024,32.94,25.59,27.74,12.35,True,True,True,V6_AGGRESSIVE_ENGINE
2025,7.72,18.01,21.01,12.39,False,False,False,V6_AGGRESSIVE_ENGINE
2026,8.51,10.62,18.25,5.93,False,False,True,V6_AGGRESSIVE_ENGINE
