year,return,SPY,QQQ,6040,beats_spy,beats_qqq,beats_6040,strategy
2015,1.48,1.29,9.77,-0.37,True,False,True,V16_A_M7_VOL_MANAGED
2016,48.57,13.59,9.41,8.33,True,True,True,V16_A_M7_VOL_MANAGED
2017,25.22,20.78,31.49,15.96,True,False,True,V16_A_M7_VOL_MANAGED
2018,8.57,-5.25,-1.85,-3.36,True,True,True,V16_A_M7_VOL_MANAGED
2019,33.34,31.09,38.41,24.06,True,False,True,V16_A_M7_VOL_MANAGED
2020,38.53,17.24,45.97,17.07,True,False,True,V16_A_M7_VOL_MANAGED
2021,43.63,30.51,29.24,16.51,True,True,True,V16_A_M7_VOL_MANAGED
2022,-18.36,-18.65,-33.22,-22.94,True,True,True,V16_A_M7_VOL_MANAGED
2023,31.11,26.71,55.91,16.36,True,False,True,V16_A_M7_VOL_MANAGED
2024,33.74,25.59,27.74,12.35,True,True,True,V16_A_M7_VOL_MANAGED
2025,16.78,18.01,21.01,12.39,False,False,True,V16_A_M7_VOL_MANAGED
2026,2.66,10.62,18.25,5.93,False,False,False,V16_A_M7_VOL_MANAGED
2015,0.42,1.29,9.77,-0.37,False,False,True,V16_B_M7_DD_BREAKER
2016,43.66,13.59,9.41,8.33,True,True,True,V16_B_M7_DD_BREAKER
2017,23.68,20.78,31.49,15.96,True,False,True,V16_B_M7_DD_BREAKER
2018,7.02,-5.25,-1.85,-3.36,True,True,True,V16_B_M7_DD_BREAKER
2019,33.77,31.09,38.41,24.06,True,False,True,V16_B_M7_DD_BREAKER
2020,41.29,17.24,45.97,17.07,True,False,True,V16_B_M7_DD_BREAKER
2021,45.48,30.51,29.24,16.51,True,True,True,V16_B_M7_DD_BREAKER
2022,-16.41,-18.65,-33.22,-22.94,True,True,True,V16_B_M7_DD_BREAKER
2023,0.0,26.71,55.91,16.36,False,False,False,V16_B_M7_DD_BREAKER
2024,0.0,25.59,27.74,12.35,False,False,False,V16_B_M7_DD_BREAKER
2025,0.0,18.01,21.01,12.39,False,False,False,V16_B_M7_DD_BREAKER
2026,0.0,10.62,18.25,5.93,False,False,False,V16_B_M7_DD_BREAKER
2015,0.42,1.29,9.77,-0.37,False,False,True,V16_C_M7_STRESS_FILTER
2016,24.55,13.59,9.41,8.33,True,True,True,V16_C_M7_STRESS_FILTER
2017,23.68,20.78,31.49,15.96,True,False,True,V16_C_M7_STRESS_FILTER
2018,7.54,-5.25,-1.85,-3.36,True,True,True,V16_C_M7_STRESS_FILTER
2019,30.49,31.09,38.41,24.06,False,False,True,V16_C_M7_STRESS_FILTER
2020,25.68,17.24,45.97,17.07,True,False,True,V16_C_M7_STRESS_FILTER
2021,45.48,30.51,29.24,16.51,True,True,True,V16_C_M7_STRESS_FILTER
2022,-11.01,-18.65,-33.22,-22.94,True,True,True,V16_C_M7_STRESS_FILTER
