ticker,contribution,pct_of_total
NVDA,0.641936756207547,30.76
MSFT,0.262910074750645,12.6
GLD,0.21510689636680524,10.31
AAPL,0.16786204334099722,8.04
MTUM,0.1674304265166175,8.02
XLK,0.1589932615955828,7.62
XLF,0.15440406200335122,7.4
SPY,0.11842203356490147,5.68
IWM,0.06052149436105028,2.9
QQQ,0.05314009829762658,2.55
USMV,0.0439662467096315,2.11
SHY,0.02176319748690528,1.04
IEF,0.017006050103269055,0.81
TLT,0.0031898548955596735,0.15
