ticker,contribution,pct_of_total
NVDA,0.9281652802497052,39.85
MSFT,0.3297621820103241,14.16
AAPL,0.3113743111800378,13.37
XLF,0.19159070057177116,8.23
MTUM,0.15311850536278396,6.57
GLD,0.1334558812512997,5.73
QQQ,0.045256720096941844,1.94
IWM,0.04341087680801264,1.86
TLT,0.0408973084305894,1.76
XLK,0.03188791997593655,1.37
IEF,0.030428164009592074,1.31
SHY,0.02970078166058002,1.28
SPY,0.02095822486543079,0.9
XLV,-0.009642221108992538,0.41
USMV,-0.02937174677185904,1.26
