year,return,SPY,QQQ,6040,beats_spy,beats_qqq,beats_6040,strategy
2026,6.34,10.62,18.25,5.93,False,False,True,M6_V6_V14_SIMPLE_50_50
2015,0.52,1.29,9.77,-0.37,False,False,True,M7_V6_V14_ADAPTIVE
2016,43.26,13.59,9.41,8.33,True,True,True,M7_V6_V14_ADAPTIVE
2017,23.32,20.78,31.49,15.96,True,False,True,M7_V6_V14_ADAPTIVE
2018,7.26,-5.25,-1.85,-3.36,True,True,True,M7_V6_V14_ADAPTIVE
2019,33.32,31.09,38.41,24.06,True,False,True,M7_V6_V14_ADAPTIVE
2020,41.09,17.24,45.97,17.07,True,False,True,M7_V6_V14_ADAPTIVE
2021,44.64,30.51,29.24,16.51,True,True,True,M7_V6_V14_ADAPTIVE
2022,-27.92,-18.65,-33.22,-22.94,False,True,False,M7_V6_V14_ADAPTIVE
2023,28.83,26.71,55.91,16.36,True,False,True,M7_V6_V14_ADAPTIVE
2024,28.83,25.59,27.74,12.35,True,True,True,M7_V6_V14_ADAPTIVE
2025,10.02,18.01,21.01,12.39,False,False,False,M7_V6_V14_ADAPTIVE
2026,5.11,10.62,18.25,5.93,False,False,False,M7_V6_V14_ADAPTIVE
2015,-1.31,1.29,9.77,-0.37,False,False,False,V14_RETURN_ENGINE
2016,47.43,13.59,9.41,8.33,True,True,True,V14_RETURN_ENGINE
2017,22.34,20.78,31.49,15.96,True,False,True,V14_RETURN_ENGINE
2018,12.39,-5.25,-1.85,-3.36,True,True,True,V14_RETURN_ENGINE
2019,33.91,31.09,38.41,24.06,True,False,True,V14_RETURN_ENGINE
2020,32.66,17.24,45.97,17.07,True,False,True,V14_RETURN_ENGINE
2021,48.13,30.51,29.24,16.51,True,True,True,V14_RETURN_ENGINE
2022,-23.56,-18.65,-33.22,-22.94,False,True,False,V14_RETURN_ENGINE
2023,29.87,26.71,55.91,16.36,True,False,True,V14_RETURN_ENGINE
2024,27.31,25.59,27.74,12.35,True,False,True,V14_RETURN_ENGINE
2025,9.83,18.01,21.01,12.39,False,False,False,V14_RETURN_ENGINE
2026,7.65,10.62,18.25,5.93,False,False,True,V14_RETURN_ENGINE
2015,10.95,1.29,9.77,-0.37,True,True,True,V6_AGGRESSIVE_ENGINE
2016,36.77,13.59,9.41,8.33,True,True,True,V6_AGGRESSIVE_ENGINE
2017,26.07,20.78,31.49,15.96,True,False,True,V6_AGGRESSIVE_ENGINE
2018,-3.36,-5.25,-1.85,-3.36,True,False,True,V6_AGGRESSIVE_ENGINE
2019,27.36,31.09,38.41,24.06,False,False,True,V6_AGGRESSIVE_ENGINE
2020,49.09,17.24,45.97,17.07,True,True,True,V6_AGGRESSIVE_ENGINE
2021,39.62,30.51,29.24,16.51,True,True,True,V6_AGGRESSIVE_ENGINE
2022,-32.22,-18.65,-33.22,-22.94,False,True,False,V6_AGGRESSIVE_ENGINE
2023,44.57,26.71,55.91,16.36,True,False,True,V6_AGGRESSIVE_ENGINE
2024,31.4,25.59,27.74,12.35,True,True,True,V6_AGGRESSIVE_ENGINE
2025,6.75,18.01,21.01,12.39,False,False,False,V6_AGGRESSIVE_ENGINE
2026,8.54,10.62,18.25,5.93,False,False,True,V6_AGGRESSIVE_ENGINE
2015,-1.1,1.29,9.77,-0.37,False,False,False,M5_ML_META_SELECTOR
