model,first_active_execution_date,last_equity_date,elapsed_years,total_return,CAGR,sharpe,sortino,max_drawdown,calmar,annual_volatility,turnover,total_costs,rebalance_count,execution_count,average_SHY_exposure,positive_week_pct,best_year,best_year_return,worst_year,worst_year_return,excess_CAGR,tracking_error,information_ratio,active_drawdown,ir_status,year_win_pct,month_win_pct,REUSED_TEST_CAGR,REUSED_TEST_excess_CAGR,RESEARCH_CAGR,RESEARCH_Sharpe,cost_rate_0.5x,cost_rate_1.0x,cost_rate_2.0x
B0_PRODUCTION_V14,2019-06-24,2026-07-14,7.055441478439425,335.70031232896537,23.195550159301305,1.1682487507341155,1.651898065249608,-33.16402714980124,0.6994189835428452,19.547877559992312,0.25971093044263777,4388.9637997930895,370,369,0.1486486486486487,58.69565217391305,2025,50.80580983803347,2022,-25.90622126021759,,,,,,,,31.467197624211284,,19.201534152128087,1.0075639376321102,0.001,0.002,0.004
M1_RIDGE_WEEKLY_RANK,2019-06-24,2026-07-14,7.055441478439425,390.3244299481895,25.275282287074074,1.222612117609812,1.7877178400852738,-30.300619717628884,0.8341506715906846,20.146513663632142,0.2759710930442638,4563.220158246926,370,369,0.1486486486486487,57.88043478260869,2025,78.91120113643544,2022,-24.85523229798714,2.0797321277727683,7.960457103251637,0.22543783233889894,-13.702414093075088,ACTIVE_STRATEGY,50.0,51.162790697674424,39.81414089250131,8.346943268290023,18.638078709196137,0.9678334650612899,0.001,0.002,0.004
M2_LOGISTIC_TOP_QUARTILE,2019-06-24,2026-07-14,7.055441478439425,621.0253187863619,32.312614661632466,1.4690898867524478,2.2101921694242916,-30.369105626887293,1.0639962552280264,20.555486885776176,0.2588979223125564,5762.94533125966,370,369,0.1486486486486487,58.42391304347826,2021,59.85533112688635,2022,-25.887307418594553,9.11706450233116,7.889989213703286,0.932963805503968,-13.851232610147491,ACTIVE_STRATEGY,100.0,52.32558139534884,40.11022249700238,8.643024872791099,28.630268764437282,1.3237934356164105,0.001,0.002,0.004
M3_HIST_GRADIENT_BOOSTING,2019-06-24,2026-07-14,7.055441478439425,304.8168865593606,21.91848084250829,1.1021851702961998,1.5892494687058634,-31.2482311210742,0.7014310908538498,19.812468784088217,0.3003613369467028,4578.047233295447,370,369,0.1486486486486487,57.608695652173914,2025,48.09690856030504,2022,-25.454319908647893,-1.277069316793014,8.396576553818964,-0.11906927207509735,-22.113110262875622,ACTIVE_STRATEGY,37.5,47.674418604651166,27.82619813883511,-3.640999485376174,19.219166235933184,0.9877525226865209,0.001,0.002,0.004
