,equity
2015-01-02,10000.0
2015-01-05,10052.555124022916
2015-01-06,10137.0237544161
2015-01-07,10131.320673083868
2015-01-08,10072.420426793278
2015-01-09,10128.538957846691
2015-01-12,10161.730447034382
2015-01-13,10166.857845798106
2015-01-14,10210.189342473346
2015-01-15,10298.010222757017
2015-01-16,10225.709405734835
2015-01-20,10277.213701205219
2015-01-21,10221.322405157618
2015-01-22,10199.40301765735
2015-01-23,10270.56547882811
2015-01-26,10250.297931467174
2015-01-27,10262.357293567928
2015-01-28,10347.02772788959
2015-01-29,10310.878837030355
2015-01-30,10406.004205388856
2015-02-02,10387.466303633655
2015-02-03,10282.109168070478
2015-02-04,10294.018706032832
2015-02-05,10242.59193434566
2015-02-06,10135.920008004063
2015-02-09,10128.540326188808
2015-02-10,10092.429544193072
2015-02-11,10097.801416064574
2015-02-12,10089.109011633178
2015-02-13,10043.317140563078
2015-02-17,9967.592693822151
2015-02-18,10007.17807241951
2015-02-19,9974.723977463947
2015-02-20,9982.213732749353
2015-02-23,10037.209798537522
2015-02-24,10106.074638916021
2015-02-25,10123.749454087472
2015-02-26,10054.420322283715
2015-02-27,10095.65934373409
2015-03-02,10005.18516131797
2015-03-03,9985.113693445612
2015-03-04,9989.456781085646
2015-03-05,9988.29556724606
2015-03-06,9877.153809291876
2015-03-09,9924.395620730027
2015-03-10,9982.751661569782
2015-03-11,10012.93299674755
2015-03-12,10014.494446288405
2015-03-13,9999.640933030429
2015-03-16,10043.698439308993
2015-03-17,10077.537649074324
2015-03-18,10188.873287554141
2015-03-19,10151.182831583996
2015-03-20,10185.230094891653
2015-03-23,10186.688047052088
2015-03-24,10231.050814114316
2015-03-25,10186.71148880114
2015-03-26,10113.05094730572
2015-03-27,10170.11490562087
2015-03-30,10152.585714786992
2015-03-31,10171.4102963787
2015-04-01,10233.558975560534
2015-04-02,10187.28425995754
2015-04-06,10175.510505285813
2015-04-07,10204.364925419803
2015-04-08,10202.275275211276
2015-04-09,10143.19508481286
2015-04-10,10146.425064328734
2015-04-13,10160.002556601698
2015-04-14,10195.607101432817
2015-04-15,10194.624658605662
2015-04-16,10181.815392449793
2015-04-17,10225.995201737462
2015-04-20,10189.252549287101
2015-04-21,10167.096607411939
2015-04-22,10092.893296034023
2015-04-23,10119.256069507437
2015-04-24,10153.326827045543
2015-04-27,10147.63117806512
2015-04-28,10083.796626217305
2015-04-29,10030.544764726023
2015-04-30,10035.067454217415
2015-05-01,9970.370074733011
2015-05-04,9932.161945573554
2015-05-05,9921.212047735351
2015-05-06,9847.255443403441
2015-05-07,9904.15157445233
2015-05-08,9930.479946919244
2015-05-11,9814.272548702771
2015-05-12,9825.620969275997
2015-05-13,9796.590964128218
2015-05-14,9819.596335705537
2015-05-15,9908.701070139661
2015-05-18,9829.056604687505
2015-05-19,9783.548658593318
2015-05-20,9797.314554367527
2015-05-21,9863.595015934277
2015-05-22,9855.223563441088
2015-05-26,9932.235957444893
2015-05-27,9938.337490631855
2015-05-28,9934.906224794122
2015-05-29,9944.847896340423
2015-06-01,9892.526075486012
2015-06-02,9823.169324182518
2015-06-03,9741.453281637741
2015-06-04,9799.938824004406
2015-06-05,9733.455359884803
2015-06-08,9736.443238447304
2015-06-09,9698.66425340998
2015-06-10,9657.198383072235
2015-06-11,9751.096852645976
2015-06-12,9748.47013845842
2015-06-15,9763.011607036166
2015-06-16,9802.201144492758
2015-06-17,9781.130813474776
2015-06-18,9763.415440450393
2015-06-19,9823.306379058746
2015-06-22,9726.612772000106
2015-06-23,9696.498050771119
2015-06-24,9735.486537270144
2015-06-25,9715.293544440427
2015-06-26,9661.500419362263
2015-06-29,9789.504135983849
2015-06-30,9757.894748410297
2015-07-01,9694.229373043712
2015-07-02,9721.270272117554
2015-07-06,9805.000957606406
2015-07-07,9844.000893352659
2015-07-08,9888.86138691615
2015-07-09,9798.601914393044
2015-07-10,9721.099682970149
2015-07-13,9703.561920240641
2015-07-14,9708.138216726189
2015-07-15,9711.564544563262
2015-07-16,9706.992535006506
2015-07-17,9704.701171567138
2015-07-20,9669.793977069246
2015-07-21,9696.539003721364
2015-07-22,9720.276461792482
2015-07-23,9774.25917948362
2015-07-24,9786.18272434536
2015-07-27,9780.04895848999
2015-07-28,9777.744132564294
2015-07-29,9775.43606800732
2015-07-30,9770.828575243448
2015-07-31,9781.208388487274
2015-08-03,9813.442773509081
2015-08-04,9765.60404296951
2015-08-05,9728.975703649014
2015-08-06,9769.891556785213
2015-08-07,9823.974591774098
2015-08-10,9810.875958985067
2015-08-11,9823.613730432728
2015-08-12,9823.613730432728
2015-08-13,9815.514381376375
2015-08-14,9810.875958985067
2015-08-17,9816.668023598055
2015-08-18,9815.514381376373
2015-08-19,9824.771709655239
2015-08-20,9821.298856237903
2015-08-21,9831.720669240534
2015-08-24,9836.3536703808
2015-08-25,9831.720669240534
2015-08-26,9825.930773127962
2015-08-27,9827.089836600684
2015-08-28,9822.453582709793
2015-08-31,9818.981813542667
2015-09-01,9822.456835460418
2015-09-02,9824.776046656074
2015-09-03,9824.776046656074
2015-09-04,9825.935110128796
2015-09-08,9822.456835460418
2015-09-09,9820.14629826643
2015-09-10,9823.619151683766
2015-09-11,9827.090920850893
2015-09-14,9824.776046656072
2015-09-15,9810.872706234439
2015-09-16,9809.717979762549
2015-09-17,9831.728258991992
2015-09-18,9836.36017588205
2015-09-21,9830.570279769478
2015-09-22,9836.36017588205
2015-09-23,9832.88298546388
2015-09-24,9838.684808328746
2015-09-25,9834.042048936604
2015-09-28,9841.002935274191
2015-09-29,9845.630515163415
2015-09-30,9847.952979109694
2015-10-01,9847.950810609278
2015-10-02,9861.866077783203
2015-10-05,9854.90844419624
2015-10-06,9853.750464973726
2015-10-07,9851.433422278487
2015-10-08,9849.104452830958
2015-10-09,9849.104452830958
2015-10-12,9846.790662886346
2015-10-13,9850.276527306181
2015-10-14,9864.17661497719
2015-10-15,9858.388887365034
2015-10-16,9853.750464973726
2015-10-19,9835.593060232053
