fold_id,train_start,train_end,test_start,test_end,n_train_rows,n_test_rows,selected_features,train_ic,oos_ic
fold_2017,2010-01-08,2016-11-04,2017-01-01,2017-12-31,5401,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1245,0.0761
fold_2018,2010-01-08,2017-11-03,2018-01-01,2018-12-31,6217,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1129,-0.0019
fold_2019,2010-01-08,2018-11-02,2019-01-01,2019-12-31,7033,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0983,0.1631
fold_2020,2010-01-08,2019-11-08,2020-01-01,2020-12-31,7865,784,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1029,0.1393
fold_2021,2010-01-08,2020-11-06,2021-01-01,2021-12-31,8665,800,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1118,0.0031
fold_2022,2010-01-08,2021-11-05,2022-01-01,2022-12-31,9449,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.1031,-0.0259
fold_2023,2010-01-08,2022-11-04,2023-01-01,2023-12-31,10249,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0882,0.0457
fold_2024,2010-01-08,2023-11-03,2024-01-01,2024-12-31,11065,816,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0923,0.1022
fold_2025,2010-01-08,2024-11-08,2025-01-01,2025-12-31,11897,800,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0926,0.0705
fold_2026,2010-01-08,2025-11-07,2026-01-01,2026-12-31,12697,352,"mom_60,mom_120,mom_252_skip_20,sma_200,above_sma200,rank_mom_60,rank_mom_120,rank_mom_252_skip_20,composite_score",0.0953,0.0232
