cost_slippage,total_return,CAGR,sharpe,sortino,max_drawdown,calmar,annual_volatility,win_years_vs_spy,win_years_vs_qqq,win_years_vs_equal_weight,win_years_vs_6040
0.0005,601.49,18.43,1.17,1.379,-20.28,0.909,15.53,0.75,0.4166666666666667,0.3333333333333333,0.9166666666666666
0.001,554.06,17.71,1.131,1.333,-20.33,0.871,15.52,0.75,0.4166666666666667,0.25,0.9166666666666666
