cost_slippage,total_return,CAGR,sharpe,sortino,max_drawdown,calmar,annual_volatility,win_years_vs_spy,win_years_vs_qqq,win_years_vs_6040,strategy,turnover,total_cost,num_rebalances,exposure
0.0005,673.95,19.45,1.243,1.672,-22.66,0.858,15.27,0.5,0.4166666666666667,1.0,R1_RETURN_ENGINE,0.2333,2239.32,602,0.767
0.001,621.53,18.72,1.203,1.62,-23.07,0.812,15.27,0.5,0.4166666666666667,1.0,R1_RETURN_ENGINE,0.2333,4278.26,602,0.767
